HIGH_DEG,INST_TYPE,INST_EXP_PS,AVG_FAC_SAL_PM,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,PER_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_P_MS,HL_ED_P_HS,HL_ED_P_PS,HECR
4,1,3212,4587,3903,0.4766,0.5234,0.056698445,0.821876568,0.018063221,0.0699,0.504264927,0.172604114,0.136979428,0.110386352,0.075765178,0.013812155,0.359668508,0.626519337,0.3733
4,1,10418,6398,9562,0.4195,0.5805,0.14934885,0.590745359,0.039623164,0.3095,0.49016348,0.155721807,0.144638404,0.120532003,0.088944306,0.016632623,0.388969945,0.594397432,0.3274
4,1,5784,5859,4165,0.4898,0.5102,0.221489783,0.551087673,0.048780488,0.316,0.440342782,0.1562294,0.154251813,0.14370468,0.105471325,0.020833333,0.358333333,0.620833333,0.3458
4,1,5824,6109,14245,0.4795,0.5205,0.065476191,0.815247253,0.024038462,0.1046,0.331730769,0.133241758,0.156364469,0.173992674,0.20467033,0.008761544,0.312810798,0.678427658,0.5862
4,1,4622,6102,18520,0.5212,0.4788,0.061376075,0.825645035,0.025996873,0.0821,0.272478499,0.126270524,0.15089914,0.191946834,0.258405004,0.004407051,0.240584936,0.755008013,0.6562
4,1,2985,5119,6391,0.4442,0.5558,0.203474904,0.620463321,0.051351351,0.1929,0.460617761,0.176061776,0.163320463,0.126640927,0.073359073,0.03125,0.440746753,0.528003247,0.3201
3,2,2957,2850,1390,0.4403,0.5597,0.04787234,0.679078014,0.031914894,0.1007,0.70212766,0.149822695,0.090425532,0.036347518,0.021276596,0.014056225,0.426706827,0.559236948,0.5619
4,1,3081,5471,5090,0.4165,0.5835,0.147274633,0.693920335,0.028825996,0.1418,0.418763103,0.17557652,0.157232704,0.159329141,0.089098533,0.02952433,0.453799891,0.516675779,0.4061
4,1,10965,5757,4582,0.4297,0.5703,0.172024817,0.621827411,0.057247603,0.2924,0.429780034,0.157078398,0.158488438,0.150028201,0.10462493,0.017471128,0.405981641,0.576547231,0.3106
3,2,4762,3845,1017,0.3432,0.6568,0.040897098,0.766490765,0.026385224,0.0147,0.579155673,0.178100264,0.14116095,0.048812665,0.052770449,0.022354695,0.378539493,0.599105812,0.3911
4,1,2510,5136,1619,0.3848,0.6152,0.506024096,0.201376936,0.141135973,0.4064,0.462994837,0.209982788,0.192771084,0.104991394,0.029259897,0.043478261,0.480072464,0.476449275,0.4
4,1,6057,4537,2464,0.3933,0.6067,0.277851283,0.465202435,0.102143424,0.1364,0.534532945,0.198200582,0.144747288,0.075946018,0.046573168,0.035321367,0.452229299,0.512449334,0.4289
4,1,6061,4488,2472,0.394,0.606,0.277851283,0.465202435,0.102143424,0.1371,0.534532945,0.198200582,0.144747288,0.075946018,0.046573168,0.035321367,0.452229299,0.512449334,0.4352
3,3,2104,2863,1114,0.6786,0.3214,0.204143507,0.407781708,0.080343608,0,0.734209197,0.110661951,0.076806468,0.050530571,0.027791814,0.062608696,0.427246377,0.510144928,0.558
4,1,5267,6829,32310,0.4825,0.5175,0.1407389,0.604787939,0.039512923,0.2037,0.396040424,0.160619616,0.152998675,0.127650762,0.162690524,0.026891048,0.29129077,0.681818182,0.4671
4,1,8434,7157,25138,0.4795,0.5205,0.093375394,0.724037855,0.045425868,0.1554,0.374637224,0.156719243,0.152555205,0.135015773,0.181072555,0.02513418,0.262730724,0.712135096,0.5367
4,2,4820,3641,1594,0.3438,0.6562,0.211081794,0.55408971,0.067282322,0.1305,0.308707124,0.135883905,0.18469657,0.17414248,0.196569921,0.030640669,0.316155989,0.653203343,0.4777
